mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split5_test_score_JAK1,split6_test_score_JAK1,split7_test_score_JAK1,split8_test_score_JAK1,split9_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split5_test_score_GSK3,split6_test_score_GSK3,split7_test_score_GSK3,split8_test_score_GSK3,split9_test_score_GSK3
minimized_conformation,0.7884382034715133,0.7454624346071239,0.8144464104541425,0.74667901559852,0.5790071097478375,0.6934010203058838,0.7873484260327988,0.7086324835727245,0.7180663279767348,0.8449089036298991,0.2014266020983769,0.1735022925300456,0.2296698857019598,0.4058645697590816,0.3589979647554217,0.2523531213035427,0.3011713060026578,0.2140157503447071,0.3077980744043265,0.1766046134952106
1ns,0.7457536430048569,0.6275251687585537,0.7828047564660006,0.7277918565968122,0.6082774537714015,0.6323834487405722,0.7413322893927783,0.6720453100753939,0.6741026823938632,0.81515670926385,0.1905852109356335,-0.0424410103125696,0.2013962341377003,0.1784586829304597,0.2236221382039176,0.1956668525264351,0.1077158579117426,0.1000679574017225,0.1940353346027687,0.1251811830147867
2ns,0.7645903326152161,0.6460633240593157,0.7328152760108285,0.6637078467741094,0.5811038406454944,0.6324935849710616,0.7299210819949256,0.5826244815587217,0.6918740744338576,0.7754759493587469,0.1878918527167271,0.2517117090058369,0.1523103740725627,0.1202993613476323,0.0933503015805738,0.1130498240693427,0.1479614386312446,0.2197461590229105,0.1577521254907941,0.1214419583817852
3ns,0.7611801802445057,0.6154099004080833,0.7678127361275613,0.7019707179705086,0.6259463499327207,0.640910787306104,0.6751513287876816,0.6538182101059257,0.6660160108803508,0.8143479793374137,0.1537080281367497,0.2172362123813795,0.0771210621918236,0.1141677319669476,0.0829052283119129,0.1637641161906194,0.0991710610679794,0.1009454208534876,0.1302635694394152,0.1915646538827641
4ns,0.7831118499135762,0.6988667489005023,0.7508330350566763,0.750288326100894,0.6102364337193203,0.5908189318154009,0.7161937328453903,0.6337796624915202,0.700707307981357,0.8325924223049146,0.163849758675848,0.2540401788191133,0.1432190853086713,0.1886463017099039,0.0835706430280599,0.1534256178770363,0.2223472806122957,0.0507081628119311,0.187188709663961,0.0466888567891694
5ns,0.75752232649374,0.68696518117806,0.7554048624519041,0.7403083728815569,0.6260165798295082,0.6841896213994962,0.7527288032716584,0.6531262865413843,0.6440182817624693,0.7359651331345926,0.2593005433250996,0.2231182009045892,0.1432525890006968,0.1646568203507751,0.0679076735466204,0.0822545435932644,0.1501074051284242,0.1310941354244938,0.1704889488310754,0.1153198386889058
6ns,0.7772304372908656,0.6927023928474172,0.7440496002809394,0.6723136141139954,0.6278934652139174,0.6929233331907755,0.6778472862264879,0.6241830416734502,0.6806023063004982,0.8045103446794621,0.1353409137530298,0.2540287078256964,0.193299806932107,0.0706794683806647,0.1217968185100841,0.0651707415304431,0.0862628401478156,0.176879061366078,0.1403458744619072,0.0689913984662661
7ns,0.74986957091946,0.6747306558282484,0.7447166017445277,0.6865736214973628,0.5912592449871705,0.626564626589595,0.7002855362230918,0.6817292887778583,0.6625124204593842,0.8006864282217797,0.183791071535456,0.2295288874852917,0.106938757814435,0.0676979576025892,0.0447335955661889,0.1412049521344223,0.1891177353378005,0.1494176973555114,0.1450744823130036,0.0780685257402274
8ns,0.7800080892519426,0.6365140703886502,0.7348166631213104,0.6863502025217129,0.6607519759516179,0.6575535507900035,0.7383195576075496,0.6190423529143314,0.6262600760645991,0.7879609461650203,0.2240214039240931,0.2438707052257928,0.1090325740006851,0.1878500033217498,0.0313155027223533,0.0467200694271365,0.2330102645728631,0.0555290119884478,0.1796291051493376,0.0775697080628745
9ns,0.7355594274032549,0.6569267428972969,0.7867937376162223,0.7215920476738392,0.6080863879680327,0.6633454815261876,0.712919058918772,0.662410390993661,0.6668739934696395,0.8284525478749367,0.1821739783118389,0.2300486433936944,0.1100084605304938,0.1011808733470205,-0.0030526237891497,0.2100533835757854,0.1594834027429389,0.0475771858707887,0.2415216629717338,0.08077219456405
10ns,0.7186464711256886,0.6631925047413965,0.7337790821406174,0.7503643968289431,0.566753730125044,0.6568319369664528,0.7180686040983157,0.6024641689209829,0.6917280582354584,0.8145848136856593,0.1804707033975474,0.2448286033658285,0.1267360259655092,0.1113294888933119,0.1352836618157252,0.1071600832183289,0.1603058687122213,0.0833006269488191,0.1415878160052832,0.0642771513827614
conformations_10,0.7586571812523958,0.6798075319490346,0.7690896434247088,0.718493870710777,0.6487300198386544,0.6618188649691652,0.7327175446145906,0.6683981988818745,0.6646116060569215,0.7954938908833278,0.1318920654487495,0.0363743087987931,0.2056232609822634,0.2626126038160019,0.1811910381478664,0.1838139867941228,0.2298700350265218,0.157850858197893,0.2480040502070866,0.1227361894692046
conformations_20,0.7626219216069898,0.6804034742725125,0.7858764762359817,0.7144357985467931,0.6418091767851056,0.6692087186723811,0.7381404775303895,0.6756476595096814,0.6609043311143653,0.7878921474850995,0.1248809118172347,0.0571234733381662,0.2033512633203735,0.262569634148688,0.1803722480035405,0.1859138527247746,0.2535062068834649,0.1603663675602797,0.2429241450749978,0.1307824244700465
minimized_conformations_10,0.7768859407472037,0.7550072523825109,0.8192217938978389,0.7321540554449337,0.638970464546832,0.6949675078216215,0.737452623223888,0.668497164888132,0.7106158136097046,0.8416563200073666,0.2168859407472037,0.1850072523825109,0.2292217938978389,0.3921540554449337,0.378970464546832,0.2649675078216215,0.337452623223888,0.218497164888132,0.3106158136097046,0.1916563200073666
